"Forfatter-Escritor","Land-País","Tittel1-Título","1","Sjanger-Género","Oversetter-Traductor","Tittel2-Título","Utgivelsessted-Lugar de publicación","Utgivelsesår2-Año de publicación","Forlag-Editorial","For- eller Etterord-Prólogo o Epílogo","Språk-Idioma"
"Guerra, Wendy (1970)","Cuba","Nunca fui primera dama","2008","Roman/Novela","Näumann, Kari","Jeg var aldri førstedame","Oslo","2012","Bokvennen","","Norsk bokmål/Noruego"
"Sábato, Ernesto","Argentina","El túnel","1948","Roman/Novela","Sletsjøe, Leif","Tunnelen","Oslo","1979","Gyldendal","","Norsk bokmål/Noruego"
"Donoso, José (1924-1996)","Chile","Este domingo","1966","Roman/Novela","Lange, Mona","Den søndagen","Oslo","1980","Cappelen","","Norsk bokmål/Noruego"
"Donoso, José (1924-1996)","Chile","Casa de campo","1978","Roman/Novela","Risvik, Kjell","Sommerboligen","Oslo","1981","Gyldendal","","Norsk bokmål/Noruego"
"Soriano, Osvaldo (1943-1997)","Argentina","Triste, solitario y final","1973","Roman/Novela","Lange, Mona","Jeg sier ikke farvel","Oslo","1980","Gyldendal","","Norsk bokmål/Noruego"
"Giménez Bartlett, Alicia (1959) ","España","El silencio de los claustros","2009","Roman/Novela","?????","Klostergangens Stillhet","Oslo","2012","Juritzen","","Norsk bokmål/Noruego"
"Rivera Letelier, Hernan (1950)","Chile","El arte de la resurreccion","2010","Roman/Novela","Rugstad, Christian","Kunsten å vekke de døde","Stavanger","2012","Bokforlaget AS","","Norsk bokmål/Noruego"
"Galeano, Eduardo (1940-2015)","Uruguay","La cancion de nosotros","1975","Roman/Novela","Steinnes, Svanaug","Songen om oss","Oslo","1979","Pax","Nymark, Johannes (Etterord)","Nynorsk/Nuevo  noruego  "
"Fuentes, Carlos (1928-2012)","México","El gringo viejo","1985","Roman/Novela","Risvik, Kjell","Gamle gringo","Oslo","1988","Gyldendal","","Nosk bokmål/Noruego"
"Fuentes, Carlos (1928-2012)","México","La región más transparente","1958","Roman/Novela","Risvik, Kjell","Hvor luften er klarest","Oslo","1979","Gyldendal","","Nosk bokmål/Noruego"
"Ruiz Zafón, Carlos (1964)","España","El prisionero del cielo","2011","Roman/Novela","Risvik,  Kari  og/y  Kjell  Risvik ","Himmelens fange","Oslo","2012, 2013","Gyldendal","","Nosk bokmål/Noruego"
"Marías, Javier (1951)","España","Los enamoramientos","2011","Roman/Novela","Solum, Kristina","Forelskelsene","Oslo","2012","Press","","Nosk bokmål/Noruego"
"Zambra, Alejandro (1975)","Chile","Formas de volver a casa","2011","Roman/Novela","Velsand, Kjersti","Måter å komme hjem på","Oslo","2012","Pax","","Nosk bokmål/Noruego"
"López Barrio, Cristina (1970)","España","La casa de los amores imposibles","2012","Roman/Novela","Risvik,  Kari  og/y  Kjell  Risvik ","Den umulige kjærlighetens hus","Oslo","2012","Bazar","","Nosk bokmål/Noruego"
"Padura, Leonardo (1955)","Cuba","Pasado perfecto","1991","Roman/Novela","Näumann, Kari","Vinter i Havana","Oslo","2012, 2014","Bokvennen","","Nosk bokmål/Noruego"
"Giménez Bartlett, Alicia (1959)","España","Día de perros","1997","Roman/Novela","Lodgaard, Bente","Kjøtere i Barcelona","Oslo","2012, 2013","Juritzen","","Nosk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","La casa verde","1966","Roman/Novela","Risvik,  Kari  og/y  Kjell  Risvik","Det grønne huset","Oslo","2012","Gyldendal","","Nosk bokmål/Noruego"
"Marías, Javier (1951)","España","Mala índole","1998","Novelle/Cuento","Lodgaard, Bente","Ond natur, eller Med Elvis i Mexico","Oslo","2012","Gyldendal","","Nosk bokmål/Noruego"
"Barceló, Elia (1957)","España","Las largas sombras","2009","Roman/Novela","Kristiansen, Halvor","Lange skygger ","Oslo","2012","Gyldendal","","Norsk Bokmål/Noruego"
"Castellanos Moya, Horacio (1957)","El Salvador","Tirana memoria","2008","Roman/Novela","Rugstad, Christian","Tyrannminne","Oslo","2013","Cappelen-Damm","","Norsk bokmål/Noruego"
"Puenzo, Lucía (1976-)","Argentina","Wakolda","2013","Roman/Novela","Carmona-Álvarez, Pedro","Wakolda","Oslo","2013","Gyldendal","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","Conversación en la catedral","1969","Roman/Novela","Risvik,  Kari  og/y  Kjell  Risvik ","Samtale i Katedralen","Oslo","2013","Gyldendal","","Norsk bokmål/Noruego"
"Dueñas, María (1964)","España","Misión olvido","2012","Roman/Novela","Risvik,  Kari  og/y  Kjell  Risvik","Lengslenes labyrint","Oslo","2013, 2014","Gyldendal","","Norsk bokmål/Noruego"
"Falcones, Ildefonso (1958-)","España","La reina descalza","2013","Roman/Novela","Risvik,  Kari  og/y  Kjell  Risvik","Barfotdronningen","Oslo","2013, 2014","Bazar","","Norsk bokmål/Noruego"
"Nettel, Guadalupe (1973)","México","El cuerpo en que nací","2011","Roman/Novela","Solum, Kristina","Kroppen hvor jeg ble født","Oslo","2014","Solum","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","El héroe discreto","2013","Roman/Novela","Risvik,  Kari  og/y  Kjell  Risvik","En diskré helt","Oslo","2014","Gyldendal","","Norsk bokmål/Noruego"
"Carrasco, Jesús (1972)","España","Intemperie","2013","Roman/Novela","Rugstad, Christian","Under åpen himmel","Oslo","2014","Cappelen Damm","","Norsk bokmål/Noruego"
"Redondo, Dolores (1969)","España","El guardián invisible","2013","Roman/Novela","Bakkejord, Kaja Rindal","Den usynlige vokteren","Oslo","2014","Cappelen Damm","","Norsk bokmål/Noruego"
"Goytisolo, Juan (1931)","España","Duelo en el paraíso","1955","Roman/Novela","Houm, Lise","Sorg i paradis","Oslo","1960","Aschehoug","","Norsk bokmål/Noruego"
"Goytisolo, Juan (1931)","España","Juegos de manos","1954","Roman/Novela","Dannevig, Karna","Unge mordere","Oslo","1960","Aschehoug","",""
"Allende, Isabel (1942)","Chile","El juego de Ripper","2014","Roman/Novela","Risvik,  Kari  og/y  Kjell  Risvik","Amandas gåte","Oslo","2014","Gyldendal","","Norsk bokmål/Noruego"
"Fortes, Susana (1959)","España","La huella del hereje","2011","Roman/Novela","Risvik,  Kari  og/y  Kjell  Risvik","I kjetterens fotspor","Oslo","2014","Bazar","","Norsk bokmål/Noruego"
"Arguedas, José María (1911-69)","Perú","""La agonía de Rasu-Ñiti"", en Relatos completos","19621974","Noveller/Cuentos","Risvik, Kjell","""Rasu Ñitis dødskamp"", en Latin-Amerika forteller","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Alas, Leopoldo (1852-1901)","España","""¡Adiós, Cordera!"", en Cuentos morales","1993","Novelle/Cuento","Näumann, Kari","""Adjø, Cordera!"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Palacio Valdés, Armando (1853-1938)","España","""¡Solo!"", en Cuentos","1886","Novelle/Cuento","Prytz, Otto","""Alene!"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Denevi, Marco (1922-98)","Argentina","""¿El primer cuento de Kafka?, en Falsificaciones","1977","Novelle/Cuento","Risvik, Kjell","""Kafkas første novelle?"", en Latin-Amerika forteller 2","Oslo","1980","De norske Bokklubbene","","Norsk bokmål/Noruego"
"Quiroga, Horacio (1878-1937)","Uruguay","""A la deriva"", en Cuentos de amor de lucura y de muerte","1917","Novelle/Cuento","Risvik, Kjell","""I drift"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"García Morales, Adelaida (1947-2014)","España","""Agustina"" , en Mujeres solas","1996","Novelle/Cuento","Kemény, Kari","""Agustina"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Güiraldes, Ricardo (1886-1927)","Argentina","""Al rescoldo"", en Cuentos de muerte y de sangre","1915","Novelle/Cuento","Risvik, Kjell","""Ved glørne"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Álvarez Gardeazábal, Gustavo (1945)","Colombia","""Ana Joaquina Torrentes"", en Cuentos del parque Boyacá","19691978","Novelle/Cuento","Angvik, Birger","""Ana Joaquina Torrentes"", en Moderne latin-amerikanske noveller","Oslo","1973","Pax","Angvik, Birger (Etterord)","Nynorsk/Nuevo noruego"
"Dávila, María Amparo (1928)","México","""Árboles petrificados"", en Árboles petrificados","1977","Novelle/Cuento","Risvik, Kjell","""Forstenede trær"", en Latin-Amerika forteller 2","Oslo","1980","De norske Bokklubbene","","Norsk bokmål/Noruego"
"Fernández Cubas, Cristina (1945)","España","""Ausencia"", en Con Agatha en Estambul","1994","Novelle/Cuento","Kemény, Kari","""Fravær"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Valle Inclán, Ramón María (1869-1936)","España","""Beatriz"", en  Corte de amor: Florilegio de honestas y nobles damas","1903","Novelle/Cuento","Näumann, Kari","""Beatriz"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Tomeo, Javier (1931-2013)","España","""Beatriz"", en Antología del cuento español, 1900-1939 ","1994","Novelle/Cuento","Näumann, Kari","""Brakycefaler eller kortskaller"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Onetti, Juan Carlos (1909-94)","Uruguay","""Bienvenido Bob"", en Cuentos completos","196774,1994","Novelle/Cuento","Risvik, Kjell","""Velkommen, Bob"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Orgambide, Pedro (1929-2003)","Argentina","""Boby"", en 70 años de narrativa argentina 1900-1970","1970","Novelle/Cuento","Angvik, Birger","""Boby"", en Moderne latin-amerikanske noveller","Oslo","1973","Pax","Angvik, Birger (Etterord)","Nynorsk/Nuevo noruego"
"Coloane, Francisco (1910-2002)","Chile","""Cabo de hornos"", en Cabo de Hornos","1941","Novelle/Cuento","Risvik, Kjell","""Kapp Horn"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Cadalso, José (1741-82)","España","""Carta XXXVIII"", en Cartas marruecas","1789","Novelle/Cuento","Worren, Arne","""Marokkanske brev, brev 38"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Collazos, Óscar (1942)","Colombia","""Ceremonios del fuego"", en Relatos amorales ","1977","Novelle/Cuento","Risvik, Kjell","""Ildens ritualer"", en Latin-Amerika forteller 2","Oslo","1980","De norske Bokklubbene","","Norsk bokmål/Noruego"
"Bryce Echenique, Alfredo (1939)","Perú","""Con Jimmy en Paracas"", en Huerto cerrado ","1968","Novelle/Cuento","Angvik, Birger","""Med Jimmy i Paracas"", en Moderne latin-amerikanske noveller","Oslo","1973","Pax","Angvik, Birger (Etterord)","Nynorsk/Nuevo noruego"
"Mallea, Eduardo (1903-82)","Argentina","""Conversación"", en La ciudad junto al río inmóvil ","1936","Novelle/Cuento","Risvik, Kjell","""Samtale"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Molina Foix, Vicente (1949)","España","""Cuento de la peluca"", en Revista de Occidente ","1982","Novelle/Cuento","Näumann, Kari","""Parykken"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Guido, Beatriz (1922-88)","Argentina","""Diez vueltas a la manzana"", en La mano en la trampa","1961","Novelle/Cuento","Risvik, Kjell","""Ti ganger rudt kvartalet"", en Latin-Amerika forteller 2","Oslo","1980","De norske Bokklubbene","","Norsk bokmål/Noruego"
"Revueltas, José (1914-76)","México","""Dios en la tierra"", en Obra literaria II","19441967","Novelle/Cuento","Risvik, Kjell","""Gud på jorden"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Donoso, José (1924-96)","Chile","""Dos cartas"", en Veraneo y otros cuentos ","1955","Novelle/Cuento","Angvik, Birger","""To brev"", en Moderne latin-amerikanske noveller","Oslo","1973","Pax","Angvik, Birger (Etterord)","Nynorsk/Nuevo noruego"
"Mihura, Miguel (1905-79)","España","""El amigo de él y ella"", en Cuento español de postguerra ","1942,1992","Novelle/Cuento","Worren, Arne","""Venen til Ham og Henne"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Bombal, María Luisa (1910-80)","Chile","""El árbol"", en La última niebla ","1934","Novelle/Cuento","Risvik, Kjell","""Treet"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Aldecoa, Ignacio (1925-69)","España","""El autobús de las 7,40"", en Vísperas del silencio ","1955","Novelle/Cuento","Näumann, Kari","""Bussen klokken 7.40"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Aguilera Malta, Demetrio (1909-1981)","Ecuador","""El cholo que se vengó"", en Los que se van","1930","Novelle/Cuento","Risvik, Kjell","""Cholo'en som tok hevn"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Hernández, Felisberto (1902-64)","Uruguay","""El cocodrilo"", en La casa inundada y otros cuentos ","19491975","Novelle/Cuento","Risvik, Kjell","""Krokodillen"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Aub, Max (1903-72)","España","""El cojo"", en No son cuentos","1944","Novelle/Cuento","Worren, Arne","""Den halte"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Prada Oropeza, Renato (1937-2011)","Bolivia","""El cuarto"", en Argal-Lagar","1967","Novelle/Cuento","Risvik, Kjell","""Rommet"", en Latin-Amerika forteller 2","Oslo","1980","De norske Bokklubbene","","Norsk bokmål/Noruego"
"Castellanos, Rosario (1925-74)","México","""El don rechazado"", en Ciudad Real","1960","Novelle/Cuento","Risvik, Kjell","""Gaven som ble forsmådd"", en Latin-Amerika forteller 2","Oslo","1980","De norske Bokklubbene","","Norsk bokmål/Noruego"
"Monterroso, Augusto (1921-2003)","Guatemala","""El eclipse"", en Obras completas y otros cuentos","1959","Novelle/Cuento","Risvik, Kjell","""Solformørkelsen"", en Latin-Amerika forteller 2","Oslo","1980","De norske Bokklubbene","","Norsk bokmål/Noruego"
"Darío, Rubén (1867-1916)","Nicaragua","""El fardo"", en Azul","1888","Novelle/Cuento","Risvik, Kjell","""Børen"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Zarraluki, Pedro (1954)","España","""El final de Orígenes"", en Galería de enormidades","1989","Novelle/Cuento","Worren, Arne","""Origines'endeligt"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"García Sánchez, Javier (1955)","España","""El fisonomista"", en Teoría de la eternidad","1984","Novelle/Cuento","Näumann, Kari","""Ansiktgranskeren"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Arreola, Juan José (1918-2001)","México","""El guardagujas"", en Confabulario","1952","Novelle/Cuento","Risvik, Kjell","""Sporveksleren"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Ayala, Francisco (1906-2009)","España","""El hechizado"", en Los usurpadores ","1949","Novelle/Cuento","Risvik, Kjell","""Den forheksede"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Arévalo Martínez, Rafael (1884-1975)","Guatemala","""El hombre que parecía un caballo"", en Un siglo del relato latinoamericano ","1914,1976","Novelle/Cuento","Risvik, Kjell","""Manen som lignet en hest"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","""El jardín de los senderos que se bifurcan"", en Ficciones","19411944","Novelle/Cuento","Risvik, Kjell","""Hagen med ganger som forgrener seg"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Aldecoa, Josefina R. (1926-2011)","España","""El juez"", en A ninguna parte","1961","Novelle/Cuento","Baggethun, Kirsti","""Dommeren"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Gil Gilbert, Enrique (1912-73)","Ecuador","""El malo"", en Los que se van","1930","Novelle/Cuento","Risvik, Kjell","""Den onde"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Unamuno, Miguel de (1864-1936)","España","""El marqués de Lumbría"", en Tres novelas ejemplares y un prólogo","1920","Novelle/Cuento","Worren, Arne","""Markien av Lumbría"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Bécquer, Gustavo Adolfo (1836-70)","España","""El monte de las ánimas"", en Leyendas","1871","Novelle/Cuento","Näumann, Kari","""Gjengangeråsen"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Cardona Peña, Alfredo (1939-95)","Costa Rica","""El muro"", en Cuentos de magia, de misterio y de horror ","1966","Novelle/Cuento","Risvik, Kjell","""Muren"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Ocampo, Silvina (1903-93)","Argentina","""El pecado mortal"", en Las invitadas ","1961","Novelle/Cuento","Risvik, Kjell","""Dødssynden"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Céspedes, Augusto (1904-97)","Bolivia","""El pozo"", en Sangre de mestizos","1936","Novelle/Cuento","Risvik, Kjell","""Brønnen"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Roa Bastos, Augusto (1917-2005)","Paraguay","""El prisionero"", en El trueno entre las hojas ","1953","Novelle/Cuento","Risvik, Kjell","""Fangen"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Montero, Rosa (1951)","España","""El puñal en la garganta"", en Relatos urbanos","1994","Novelle/Cuento","Näumann, Kari","""Kniven mot strupen"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Zúñiga, Juan Eduardo (1929)","España","""El último día del mundo"", en La tierra será un paraíso","1989","Novelle/Cuento","Risvik, Kjell","""Verdens siste dag"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Edwards, Jorge (1931)","Chile","""El último día"", en Gente de ciudad","1961","Novelle/Cuento","Angvik, Birger","""Den siste dagen"", en Moderne latin-amerikanske noveller","Oslo","1973","Pax","Angvik, Birger (Etterord)","Nynorsk/Nuevo noruego"
"Laforet, Carmen (1921-2004)","España","""El veraneo"", en La niña y otros relatos","1970","Novelle/Cuento","Näumann, Kari","""Sommeroppholdet"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Chávez Alfaro, Lizandro (1929-2006)","Nicaragua","""El zoológico de papá"", en Los monos de San Telmo","1963","Novelle/Cuento","Angvik, Birger","""Far og dyrehagen"", en Moderne latin-amerikanske noveller","Oslo","1973","Pax","Angvik, Birger (Etterord)","Nynorsk/Nuevo noruego"
"Baroja, Pío (1873-1956)","España","""Elizabide, el vagabundo"", en Idilios vascos","1901","Novelle/Cuento","Näumann, Kari","""Vagabonden Elizabide"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Blasco Ibáñez, Vicente (1867-1928)","España","""En la boca del horno"", en Cuentos valencianos","1896","Novelle/Cuento","Worren, Arne","""I ulvekjeften"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Delibes, Miguel (1920-2010)","España","""En una noche así"", en Antología de cuentistas contemporáneos","1960","Novelle/Cuento","Worren, Arne","""I en natt som denne"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Cunqueiro, Álvaro (1911-81)","España","""Epístola de Santiago apóstol a los salmones del Ulla"", en Cuento español de potsguerra","1982,1992","Novelle/Cuento","Worren, Arne","""Epistel fra Apostelen Sankt Jakob til laksene i Ulla"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Benítez Rojo, Antonio (1931-2005)","Cuba","""Estatuas sepultadas"", en Tute de Reyes","1967","Novelle/Cuento","Risvik, Kjell","""Begravde statuer"", en Latin-Amerika forteller 2","Oslo","1980","De norske Bokklubbene","","Norsk bokmål/Noruego"
"Freixas, Laura (1958)","España","""Final absurdo"", en El asesino de la muñeca","1988","Novelle/Cuento","Kemény, Kari","""En absurd slutt"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Menéndez Leal, Álvaro (1931-2000)","El Salvador","""Fire and Ice"", en Cuentos breves y maravillosos","1969","Novelle/Cuento","Risvik, Kjell","""Fire and Ice"", en Latin-Amerika forteller 2","Oslo","1980","De norske Bokklubbene","","Norsk bokmål/Noruego"
"Benedetti, Mario (1920-2009)","Uruguay","""Ganas de embromar"", en La muerte y otras sorpresas ","1968","Novelle/Cuento","Angvik, Birger","""Apestreker"", en Moderne latin-amerikanske noveller","Oslo","1973","Pax","Angvik, Birger (Etterord)","Nynorsk/Nuevo noruego"
"Britto García, Luis (1940)","Venezuela","""Helena"", en Rajarabla","1970","Novelle/Cuento","Angvik, Birger","""Helena"", en Moderne latin-amerikanske noveller","Oslo","1973","Pax","Angvik, Birger (Etterord)","Nynorsk/Nuevo noruego"
"Antonio de Villegas (c 1522-c 1551)","España","""Historia del Abencerraje y de la hermosa Jarifa"", en Inventario ","1565","Novelle/Cuento","Näumann, Kari","""Historien om Abindarráez og den skjønne Jarifa"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Asturias, Miguel Ángel (1899-1974)","Guatemala","""Juan antes el encadenado"", en El espejo de Lida Sal","1967","Novelle/Cuento","Risvik, Kjell","""Juan først i lenker"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Arguedas, José María (1911-69)","Perú","""La agonía de Rasu-Ñiti"", en Relatos completos ","19621974","Novelle/Cuento","Risvik, Kjell","""Rasu Ñitis dødskamp"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Pereira, Antonio (1923-2009)","España","""La barbera alemana"", en Picassos en el desván ","1991","Novelle/Cuento","Näumann, Kari","""Den tyske kvinnen og barbersalongen"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Domínguez Alba, Bernardo (Rogelio Sinán) (1902-94)","Panamá","""Lulú ante los tribunales"", en La boina roja y otros cuentos ","1954","Novelle/Cuento","Risvik, Kjell","""Lulú står til rette"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Salazar Arrué (Salarrué), Salvador (1899-1975)","El Salvador","""La botija"", en Cuentos de barro ","1934","Novelle/Cuento","Risvik, Kjell","""Skatten"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Marías, Javier (1951)","España","""La canción de Lord Rendall"", en Mientras ellas duermen ","1990","Novelle/Cuento","Worren, Arne","""Lord Rendalls sang"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Lillo, Baldomero (1867-1923)","Chile","""La compuerta número 12"", en Subterra","1904","Novelle/Cuento","Risvik, Kjell","""Port nummer 12"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Martín Gaite, Carmen (1925-2000)","España","""La conciencia tranquila"", en Las ataduras","1960","Novelle/Cuento","Baggethun, Kirsti","""God samvittighet"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Cáceres Romero, Adolfo (1937)","Bolivia","""La emboscada"", en Argal-Lagar ","1967","Novelle/Cuento","Risvik, Kjell","""Bakhold"", en Latin-Amerika forteller 2","Oslo","1980","De norske Bokklubbene","","Norsk bokmål/Noruego"
"Ortiz, Adalberto (1914-2003)","Ecuador","""La entundada"", en La entundada","1971","Novelle/Cuento","Risvik, Kjell","""La entundada"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Miró, Gabriel (1879-1930)","España","""La fiesta de nuestro señor"", en Corpus y otros cuentos","1908","Novelle/Cuento","Worren, Arne","""Kristi legemfest"", en Spania forteller. Spanske noveller","Oslo","1999","De norske Bokklubbene","Worren, Arne (Innledning)","Norsk bokmål/Noruego"
"Mejía Vallejo, Manuel (1923-98)","Colombia","""La guitarra"", en El cuento venezolano en el Nacional","1973","Novelle/Cuento","Risvik, Kjell","""Gitaren"", en Latin-Amerika forteller 2","Oslo","1980","De norske Bokklubbene","","Norsk bokmål/Noruego"
"Reyes, Alfonso (1889-1959)","México","""La mano del comandante Aranda"", en Quince presencias ","19461955","Novelle/Cuento","Risvik, Kjell","""Kommandant Arandas hånd"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
"Meneses, Guillermo (1911-78)","Venezuela","""La mano junto al muro"", en  La mano junto al muro ","1952","Novelle/Cuento","Risvik, Kjell","""Hånden mot muren"", en Latin-Amerika forteller 1","Oslo","1980","Den Norske Bokklubben","Risvik, Kjell (Forord)","Norsk bokmål/Noruego"
